Date,Open,High,Low,Close,Adj Close,Volume
2023-07-30,18.617001,19.075830,18.419245,18.869024,18.869024,176443654
2023-07-31,18.869453,19.022566,18.434412,18.493885,18.493885,129275511
2023-08-01,18.493435,18.542320,18.023355,18.528124,18.528124,133739671
2023-08-02,18.525604,18.565323,17.954086,18.065660,18.065660,119575727
2023-08-03,18.065933,18.153452,17.839874,17.943872,17.943872,111933015
2023-08-04,17.941717,18.106718,17.778687,17.912268,17.912268,105368578
2023-08-05,17.911533,17.941868,17.725542,17.915222,17.915222,71390238
2023-08-06,17.914923,17.977591,17.806320,17.811514,17.811514,71580698
2023-08-07,17.811506,17.955841,17.376144,17.674719,17.674719,113527985
2023-08-08,17.674946,18.107445,17.584263,17.948997,17.948997,110866601
2023-08-09,17.948580,18.048595,17.713415,17.839289,17.839289,127456660
2023-08-10,17.840761,17.860649,17.643240,17.704409,17.704409,82081038
2023-08-11,17.704504,17.731504,17.559757,17.620455,17.620455,65259199
2023-08-12,17.620344,17.729786,17.603600,17.722281,17.722281,61291312
2023-08-13,17.722092,17.799168,17.472281,17.514399,17.514399,71696120
2023-08-14,17.514477,17.602905,17.386822,17.497169,17.497169,74151757
2023-08-15,17.497166,17.500422,16.435253,16.705320,16.705320,117434721
2023-08-16,16.705624,16.730452,15.894302,16.233858,16.233858,109377419
2023-08-17,16.233473,16.350212,13.944385,14.973391,14.973391,184209729
2023-08-18,14.974323,15.793887,14.942194,15.424569,15.424569,148865339
2023-08-19,15.424673,15.713538,15.312695,15.544931,15.544931,74493653
2023-08-20,15.545827,15.630724,15.375025,15.560738,15.560738,71233002
2023-08-21,15.560833,15.903081,15.471016,15.789591,15.789591,117841571
2023-08-22,15.787189,15.819518,15.092752,15.495649,15.495649,88711318
2023-08-23,15.496068,16.214073,15.492414,16.181025,16.181025,99635381
2023-08-24,16.181448,16.214462,15.829573,16.043789,16.043789,73759326
2023-08-25,16.044199,16.084358,15.760733,15.997551,15.997551,75525219
2023-08-26,15.997672,16.069233,15.758236,15.858824,15.858824,52039101
2023-08-27,15.858150,16.027212,15.790769,16.007809,16.007809,62912978
2023-08-28,16.007841,16.007841,15.652640,15.906695,15.906695,69780181
2023-08-29,15.905886,17.168373,15.601795,16.881355,16.881355,176637461
2023-08-30,16.881729,16.897217,16.024912,16.025431,16.025431,116906061
2023-08-31,16.025589,16.177816,15.326268,15.500770,15.500770,116117946
2023-09-01,15.501063,15.622311,15.254253,15.386296,15.386296,84319220
2023-09-02,15.386855,15.513004,15.311688,15.456302,15.456302,63935520
2023-09-03,15.457273,15.512833,15.278185,15.380009,15.380009,58045044
2023-09-04,15.378942,15.532898,15.213447,15.360376,15.360376,65387079
2023-09-05,15.360694,15.420960,15.162105,15.374710,15.374710,62896692
2023-09-06,15.375053,15.606839,15.215681,15.486616,15.486616,69874315
2023-09-07,15.487035,15.659870,15.341248,15.572793,15.572793,49967991
2023-09-08,15.573232,15.641168,15.272858,15.409734,15.409734,52837023
2023-09-09,15.409659,15.491190,15.360142,15.400557,15.400557,37922555
2023-09-10,15.400777,15.400777,14.845066,15.090849,15.090849,71426901
2023-09-11,15.090962,15.151080,14.467574,14.697254,14.697254,83212536
2023-09-12,14.698171,15.243940,14.693007,14.980931,14.980931,83603125
2023-09-13,14.982199,15.185282,14.870659,15.160271,15.160271,112188326
2023-09-14,15.160416,15.346111,15.034989,15.250063,15.250063,121426956
2023-09-15,15.251172,15.808154,15.230176,15.692466,15.692466,120074888
2023-09-16,15.693129,15.925877,15.528929,15.655214,15.655214,95846688
2023-09-17,15.654218,15.654542,15.276631,15.404819,15.404819,58624215
2023-09-18,15.405264,16.014862,15.303429,15.690350,15.690350,94248079
2023-09-19,15.690496,15.943417,15.626876,15.758441,15.758441,77078766
2023-09-20,15.758158,15.786841,15.433817,15.584322,15.584322,91268601
2023-09-21,15.584563,15.626140,15.141450,15.215891,15.215891,79965558
2023-09-22,15.216109,15.312697,15.121014,15.186545,15.186545,56709996
2023-09-23,15.186880,15.277095,15.152717,15.259869,15.259869,47538697
2023-09-24,15.259236,15.377376,15.041372,15.082250,15.082250,60491751
2023-09-25,15.082228,15.325961,15.035720,15.223185,15.223185,68276141
2023-09-26,15.223001,15.267192,14.976089,15.092748,15.092748,65685073
2023-09-27,15.093157,15.680545,15.064724,15.337711,15.337711,102247619
2023-09-28,15.337518,15.939966,15.326114,15.798474,15.798474,80080403
2023-09-29,15.799073,16.004566,15.735266,15.879463,15.879463,68970399
2023-09-30,15.879540,16.812841,15.835519,16.365599,16.365599,105815020
2023-10-01,16.362541,16.777290,16.252804,16.682211,16.682211,91646004
2023-10-02,16.682274,16.855757,16.084496,16.173798,16.173798,143890448
2023-10-03,16.172323,16.590496,15.663461,15.682571,15.682571,189328517
2023-10-04,15.681921,15.697900,15.322476,15.654332,15.654332,96136569
