Date,Open,High,Low,Close,Adj Close,Volume,ticker
2022-08-14,1.3e-05,1.8e-05,1.3e-05,1.7e-05,1.7e-05,3873103860,SHIB-USD
2022-08-15,1.7e-05,1.7e-05,1.5e-05,1.5e-05,1.5e-05,2327359499,SHIB-USD
2022-08-16,1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.6e-05,1302891507,SHIB-USD
2022-08-17,1.6e-05,1.6e-05,1.5e-05,1.5e-05,1.5e-05,1047374797,SHIB-USD
2022-08-18,1.5e-05,1.5e-05,1.4e-05,1.4e-05,1.4e-05,557409408,SHIB-USD
2022-08-19,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1128117927,SHIB-USD
2022-08-20,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,745673615,SHIB-USD
2022-08-21,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,432719644,SHIB-USD
2022-08-22,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,447215233,SHIB-USD
2022-08-23,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,401297299,SHIB-USD
2022-08-24,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,397540278,SHIB-USD
2022-08-25,1.3e-05,1.5e-05,1.3e-05,1.4e-05,1.4e-05,959400151,SHIB-USD
2022-08-26,1.4e-05,1.4e-05,1.2e-05,1.2e-05,1.2e-05,819192697,SHIB-USD
2022-08-27,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,437249950,SHIB-USD
2022-08-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,328030702,SHIB-USD
2022-08-29,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,393463237,SHIB-USD
2022-08-30,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,378833439,SHIB-USD
2022-08-31,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,290944041,SHIB-USD
2022-09-01,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,284561703,SHIB-USD
2022-09-02,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,295889011,SHIB-USD
2022-09-03,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,219322329,SHIB-USD
2022-09-04,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,553998915,SHIB-USD
2022-09-05,1.3e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,322249006,SHIB-USD
2022-09-06,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,502320543,SHIB-USD
2022-09-07,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,322581607,SHIB-USD
2022-09-08,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,323307668,SHIB-USD
2022-09-09,1.2e-05,1.4e-05,1.2e-05,1.3e-05,1.3e-05,906904715,SHIB-USD
2022-09-10,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,650509216,SHIB-USD
2022-09-11,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,539982450,SHIB-USD
2022-09-12,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,502161292,SHIB-USD
2022-09-13,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,455179755,SHIB-USD
2022-09-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,323663527,SHIB-USD
2022-09-15,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,321682028,SHIB-USD
2022-09-16,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,240124971,SHIB-USD
2022-09-17,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,191744549,SHIB-USD
2022-09-18,1.2e-05,1.2e-05,1e-05,1.1e-05,1.1e-05,277027590,SHIB-USD
2022-09-19,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,346595419,SHIB-USD
2022-09-20,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,233231568,SHIB-USD
2022-09-21,1.1e-05,1.1e-05,1e-05,1e-05,1e-05,345248633,SHIB-USD
2022-09-22,1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,216459758,SHIB-USD
2022-09-23,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,337933781,SHIB-USD
2022-09-24,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,713605265,SHIB-USD
2022-09-25,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,298521657,SHIB-USD
2022-09-26,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,265868938,SHIB-USD
2022-09-27,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,287760616,SHIB-USD
2022-09-28,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,262953706,SHIB-USD
2022-09-29,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,176633140,SHIB-USD
2022-09-30,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,269203863,SHIB-USD
2022-10-01,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,172808216,SHIB-USD
2022-10-02,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,176957004,SHIB-USD
2022-10-03,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,194093013,SHIB-USD
2022-10-04,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,295527520,SHIB-USD
2022-10-05,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,257284310,SHIB-USD
2022-10-06,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,218959432,SHIB-USD
2022-10-07,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,161253503,SHIB-USD
2022-10-08,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,91674947,SHIB-USD
2022-10-09,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,96163215,SHIB-USD
2022-10-10,1.1e-05,1.1e-05,1e-05,1e-05,1e-05,192456230,SHIB-USD
2022-10-11,1e-05,1e-05,1e-05,1e-05,1e-05,225078484,SHIB-USD
2022-10-12,1e-05,1e-05,1e-05,1e-05,1e-05,128040822,SHIB-USD
2022-10-13,1e-05,1.1e-05,9e-06,1e-05,1e-05,443708628,SHIB-USD
2022-10-14,1e-05,1.1e-05,1e-05,1e-05,1e-05,231553889,SHIB-USD
2022-10-15,1e-05,1e-05,1e-05,1e-05,1e-05,173389601,SHIB-USD
2022-10-16,1e-05,1e-05,1e-05,1e-05,1e-05,121155378,SHIB-USD
2022-10-17,1e-05,1e-05,1e-05,1e-05,1e-05,117289815,SHIB-USD
2022-10-18,1e-05,1e-05,1e-05,1e-05,1e-05,175418876,SHIB-USD
2022-10-19,1e-05,1e-05,1e-05,1e-05,1e-05,135343704,SHIB-USD
2022-10-20,1e-05,1e-05,1e-05,1e-05,1e-05,151239550,SHIB-USD
2022-10-21,1e-05,1e-05,1e-05,1e-05,1e-05,180099032,SHIB-USD
2022-10-22,1e-05,1e-05,1e-05,1e-05,1e-05,96866356,SHIB-USD
2022-10-23,1e-05,1e-05,1e-05,1e-05,1e-05,113876891,SHIB-USD
2022-10-24,1e-05,1e-05,1e-05,1e-05,1e-05,118009700,SHIB-USD
2022-10-25,1e-05,1e-05,1e-05,1e-05,1e-05,209262534,SHIB-USD
2022-10-26,1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,403900859,SHIB-USD
2022-10-27,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,746775849,SHIB-USD
2022-10-28,1.1e-05,1.2e-05,1e-05,1.2e-05,1.2e-05,829657554,SHIB-USD
2022-10-29,1.2e-05,1.5e-05,1.2e-05,1.3e-05,1.3e-05,2217211793,SHIB-USD
2022-10-30,1.3e-05,1.4e-05,1.2e-05,1.2e-05,1.2e-05,1159869624,SHIB-USD
2022-10-31,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,872998502,SHIB-USD
2022-11-01,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,950860118,SHIB-USD
2022-11-02,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,683807119,SHIB-USD
2022-11-03,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,391582037,SHIB-USD
2022-11-04,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,709768855,SHIB-USD
2022-11-05,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,572196598,SHIB-USD
2022-11-06,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,416836181,SHIB-USD
2022-11-07,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,334221979,SHIB-USD
2022-11-08,1.2e-05,1.2e-05,1e-05,1e-05,1e-05,758571197,SHIB-USD
2022-11-09,1e-05,1e-05,8e-06,9e-06,9e-06,625749946,SHIB-USD
2022-11-10,9e-06,1e-05,9e-06,1e-05,1e-05,565187415,SHIB-USD
2022-11-11,1e-05,1e-05,1e-05,1e-05,1e-05,324158505,SHIB-USD
2022-11-12,1e-05,1e-05,9e-06,1e-05,1e-05,268072143,SHIB-USD
2022-11-13,1e-05,1e-05,9e-06,9e-06,9e-06,229639309,SHIB-USD
2022-11-14,9e-06,9e-06,9e-06,9e-06,9e-06,285347022,SHIB-USD
2022-11-15,9e-06,9e-06,9e-06,9e-06,9e-06,183215113,SHIB-USD
2022-11-16,9e-06,1e-05,9e-06,9e-06,9e-06,228971255,SHIB-USD
2022-11-17,9e-06,9e-06,9e-06,9e-06,9e-06,119716547,SHIB-USD
2022-11-18,9e-06,9e-06,9e-06,9e-06,9e-06,98720801,SHIB-USD
2022-11-19,9e-06,9e-06,9e-06,9e-06,9e-06,85037387,SHIB-USD
2022-11-20,9e-06,9e-06,9e-06,9e-06,9e-06,138213208,SHIB-USD
2022-11-21,9e-06,9e-06,8e-06,8e-06,8e-06,211504864,SHIB-USD
2022-11-22,8e-06,9e-06,8e-06,9e-06,9e-06,179287235,SHIB-USD
2022-11-23,9e-06,9e-06,9e-06,9e-06,9e-06,166475381,SHIB-USD
2022-11-24,9e-06,9e-06,9e-06,9e-06,9e-06,111224853,SHIB-USD
2022-11-25,9e-06,9e-06,9e-06,9e-06,9e-06,179094294,SHIB-USD
2022-11-26,9e-06,9e-06,9e-06,9e-06,9e-06,137457128,SHIB-USD
2022-11-27,9e-06,1e-05,9e-06,9e-06,9e-06,205943656,SHIB-USD
2022-11-28,9e-06,9e-06,9e-06,9e-06,9e-06,163217983,SHIB-USD
2022-11-29,9e-06,9e-06,9e-06,9e-06,9e-06,131355967,SHIB-USD
2022-11-30,9e-06,9e-06,9e-06,9e-06,9e-06,183097116,SHIB-USD
2022-12-01,9e-06,9e-06,9e-06,9e-06,9e-06,111818634,SHIB-USD
2022-12-02,9e-06,9e-06,9e-06,9e-06,9e-06,112890317,SHIB-USD
2022-12-03,9e-06,9e-06,9e-06,9e-06,9e-06,121673808,SHIB-USD
